id	title	lon	lat	geowkt	ccodes
8349841	Dujiangyan City	103.62403	30.99331	MULTIPOINT (103.62403 30.99331)	CN
8349919	Edinburgh	-3.198888889	55.95	MULTIPOINT (-3.1988888888889 55.95)	GB
8349920	Elvas	-7.162777778	38.88	MULTIPOINT (-7.1627777777778 38.88)	PT
8349808	Erbil	44.00944444	36.19111111	MULTIPOINT (44.009444444444 36.191111111111)	IQ
8349809	Essaouira	-9.768696	31.513023	MULTIPOINT (-9.768696 31.513023)	MA
8349921	Évora	-7.907222222	38.5725	MULTIPOINT (-7.9072222222222 38.5725)	PT
8349810	Fez	-5.003333333	34.04333333	MULTIPOINT (-5.003333333333333 34.04333333333334)	MA
8349922	Fontainebleau	2.701666667	48.40888889	MULTIPOINT (2.7016666666667 48.408888888889)	FR
8350015	Fray Bentos	-58.3	-33.13333333	MULTIPOINT (-58.3 -33.133333333333)	UY
8349842	Galle	80.219421	6.039505	MULTIPOINT (80.219421 6.039505)	LK
8349843	George Town	100.3292	5.4145	MULTIPOINT (100.3292 5.4145)	MY
8349811	Ghadames	9.5	30.13333333	MULTIPOINT (9.5 30.133333333333)	LY
8349812	Ghardaïa	3.666666667	32.48333333	MULTIPOINT (3.6666666666667 32.483333333333)	DZ
8349844	Gianyar	115.325079	-8.549124	MULTIPOINT (115.325079 -8.549124000000001)	ID
8349845	Gochang County	126.7	35.43333333	MULTIPOINT (126.7 35.433333333333)	KR
8349846	Gongju	127.1247222	36.45555556	MULTIPOINT (127.12472222222 36.455555555556)	KR
8349847	Goris	46.34166667	39.51111111	MULTIPOINT (46.341666666667 39.511111111111)	AM
8349923	Granada	-3.600833333	37.17805556	MULTIPOINT (-3.6008333333333 37.178055555556)	ES
8349796	Grand-Bassam	-3.733333333	5.2	MULTIPOINT (-3.7333333333333 5.2)	CI
8349924	Graz	15.43333333	47.06666667	MULTIPOINT (15.433333333333 47.066666666667)	AT
8350016	Guadalajara	-103.3475	20.67666667	MULTIPOINT (-103.3475 20.676666666667)	MX
8350017	Guanajuato	-101.2566667	21.01777778	MULTIPOINT (-101.25666666667 21.017777777778)	MX
8349925	Guimarães	-8.290833333	41.445	MULTIPOINT (-8.2908333333333 41.445)	PT
8349848	Gwangju	127.2591667	37.40916667	MULTIPOINT (127.25916666667 37.409166666667)	KR
8349849	Gyeongju	129.2166667	35.85	MULTIPOINT (129.21666666667 35.85)	KR
8349850	Haenam	126.5975	34.57416667	MULTIPOINT (126.5975 34.574166666667)	KR
8349926	Hamburg	10	53.55	MULTIPOINT (10 53.55)	DE
8349851	Hapcheon	128.1594444	35.56555556	MULTIPOINT (128.15944444444 35.565555555556)	KR
8349797	Harar Jugol	42.12777778	9.311111111	MULTIPOINT (42.127777777778 9.311111111111099)	ET
8350018	Havana	-82.35888889	23.13666667	MULTIPOINT (-82.358888888889 23.136666666667)	CU
8349852	Hội An	108.33265	15.87766944	MULTIPOINT (108.33265 15.87766944444444)	VN
8349853	Huế	107.590859	16.463684	MULTIPOINT (107.590859 16.463684)	VN
8349854	Hwasun County	126.985	35.05944444	MULTIPOINT (126.985 35.059444444444)	KR
8349927	Ibiza	1.43	38.98	MULTIPOINT (1.43 38.98)	ES
8349856	Iksan	126.9544444	35.94388889	MULTIPOINT (126.95444444444 35.943888888889)	KR
8349798	Island of Mozambique	40.73277778	-15.03666667	MULTIPOINT (40.732777777778 -15.036666666667)	MZ
8349928	Istanbul	28.96027778	41.01	MULTIPOINT (28.960277777778 41.01)	TR
8349855	Istanbul	28.96027	41.01	MULTIPOINT (28.960277777778 41.01)	TR
